log_id,supplier_id,po_id,lead_time_days,on_time_flag,logged_at
1,2,4,8,True,09-04-2024 00:00:00
2,1,6,7,false,02-03-2026 00:00:00
3,3,12,52,TRUE,02-09-2025 00:00:00
4,2,13,31,0,07-02-2026 00:00:00
5,3,14,29,1,18-04-2024 00:00:00
6,2,16,24,,15-04-2026 00:00:00
7,3,17,28,FALSE,24-06-2025 00:00:00
8,1,19,23,TRUE,25-12-2025 00:00:00
9,7,22,41,FALSE,30-03-2026 00:00:00
10,3,26,26,1,30-10-2024 00:00:00
11,1,27,41,false,03-05-2025 00:00:00
12,9,31,43,1,02-06-2025 00:00:00
13,10,32,43,,09-01-2024 00:00:00
14,1,37,49,FALSE,03-08-2024 00:00:00
15,3,39,3,0,26-01-2025 00:00:00
16,1,40,60,1,12-02-2025 00:00:00
17,9,41,10,FALSE,29-01-2024 00:00:00
18,7,42,35,FALSE,07-06-2025 00:00:00
19,9,43,,false,04-12-2025 00:00:00
20,4,45,20,0,11-11-2025 00:00:00
21,2,48,2,0,19-11-2025 00:00:00
22,2,49,38,,28-02-2025 00:00:00
23,9,52,35,FALSE,11-06-2024 00:00:00
24,7,54,37,0,24-12-2025 00:00:00
25,7,55,26,0,27-02-2026 00:00:00
26,7,56,15,false,05-07-2025 00:00:00
27,7,60,5,false,04-05-2026 00:00:00
28,5,63,58,TRUE,15-08-2025 00:00:00
29,6,65,24,,14-03-2025 00:00:00
30,7,67,14,FALSE,01-10-2024 00:00:00
31,10,69,6,,23-07-2025 00:00:00
32,2,72,46,TRUE,19-02-2026 00:00:00
33,10,73,47,True,12-04-2024 00:00:00
34,8,75,57,FALSE,14-12-2024 00:00:00
35,3,76,50,false,07-11-2024 00:00:00
36,4,77,21,TRUE,24-01-2025 00:00:00
37,8,79,26,,26-04-2025 00:00:00
38,2,81,16,1,18-06-2024 00:00:00
39,10,83,18,,27-01-2024 00:00:00
40,9,86,55,TRUE,10-04-2025 00:00:00
41,5,88,36,1,14-05-2024 00:00:00
42,3,89,22,1,18-07-2025 00:00:00
43,7,91,29,FALSE,05-09-2025 00:00:00
44,10,94,48,True,27-08-2024 00:00:00
45,3,95,34,True,07-02-2024 00:00:00
46,8,102,12,TRUE,24-08-2025 00:00:00
47,8,106,16,TRUE,16-08-2025 00:00:00
48,8,108,25,True,03-02-2026 00:00:00
49,4,111,28,True,12-10-2025 00:00:00
50,9,120,52,TRUE,21-09-2025 00:00:00
51,6,127,59,TRUE,07-06-2026 00:00:00
52,4,128,,FALSE,24-12-2024 00:00:00
53,6,130,24,false,04-07-2024 00:00:00
54,9,131,36,0,20-01-2025 00:00:00
55,8,134,28,True,14-11-2025 00:00:00
56,4,135,56,false,21-02-2026 00:00:00
57,9,139,48,TRUE,09-02-2025 00:00:00
58,4,140,50,1,25-12-2024 00:00:00
59,10,141,20,,17-02-2026 00:00:00
60,10,142,44,FALSE,03-06-2026 00:00:00
61,4,151,34,1,07-06-2024 00:00:00
62,9,154,23,TRUE,12-11-2024 00:00:00
63,9,156,43,TRUE,29-12-2025 00:00:00
64,9,157,,,30-04-2026 00:00:00
65,3,159,41,false,20-10-2024 00:00:00
